sf_code,sf_name,tf_code,tf_name,city_id,marketing_area,business_line,rating,comment_count,grading,rate_grade,grade_comment,days_since_last_live
me967z,رستوران شاندیز,2p349p,رستوران شاندیز,2,نازی آباد,Restaurant,0,1,Not Enough Comments,No Rating,D,1
27x975,فلافل ارم,569mng,فلافل ارم,2,فردوس - کاشانی - شهر زیبا,Restaurant,8.94177065,135,Not Enough Comments,B,A,1
6dgy6o,حلیم و کباب برکت,5zkwol,حلیم کباب برکت,2,دروازه شمیران-میدان شهدا,Restaurant,6.105347077,41,Not Enough Comments,D,B,1
949dxq,سوخاری کیلویی پرطلا,5z4lzy,سوخاری کیلویی پرطلا ,2,,Restaurant,8.478463098,11,Not Enough Comments,B,C,16
6dgxon,رستوران ارکید,29nzkm,ارکید,2,هفت تیر - انقلاب - ولیعصر - فردوسی,Restaurant,8.992759334,61,Not Enough Comments,B,B,2
dqvj5w,کترینگ ایرن,547y74,ایرن,2,جردن - ونک,Restaurant,8.699663414,51,Not Enough Comments,B,B,1
e527q5,فست فود نوش جان,2r9myr,فست فود نوش جان,2,فردوس - کاشانی - شهر زیبا,Restaurant,8.502470328,20,Not Enough Comments,B,C,1
l2dm5z,کافه ویواچه,2g7ow4,کافه رستوران ویواچه,2,,Restaurant,0,5,Not Enough Comments,No Rating,D,1
gnkn5n,رستوران دیبا,51kok3,رستوران دیبا,2,,Restaurant,0,0,Not Enough Comments,No Rating,D,1
wd44wz,فست فود و مرغ بریان پاپال,59nom7,پاپال,2,ولنجک - زعفرانیه,Restaurant,7.69163886,63,Not Enough Comments,C,B,1
44jvxx,طُم (شهرک غرب),2p3g7l,فست فود طُم( شهرک غرب),2,سعادت آباد - شهرک غرب,Restaurant,9.014517441,101,Not Enough Comments,A,A,1
gn92vx,کبابی برادران گلپایگانی اصل,2x7p6n,چلو کبابی برادران گلپایگانی اصل,2,تهرانپارس-حکیمیه,Restaurant,9.030241011,27,Not Enough Comments,A,C,2
94y9rd,چلو قابلمه,27m4l4,چلو قابلمه,2,جنت آباد - شهران‎,Restaurant,7.263207737,117,Not Enough Comments,C,A,1
kljn9j,سلف سرویس ابوحسین اهوازی,5y44ym,سلف سرویس ابوحسین اهوازی,2,,Restaurant,0,1,Not Enough Comments,No Rating,D,1
jy2roq,جگرسرای محمدزاده,57m48y,جگرسرای محمدزاده,2,نظام آباد‎‎,Restaurant,7.663354369,51,Not Enough Comments,C,B,1
qyoxxd,کافه رستوران گعده,2p63lp,کافه رستوران گعده ,2,,Restaurant,0,6,Not Enough Comments,No Rating,C,1
3k76dq,کترینگ هانیه,2p6krz,کترینگ هانيه ,2,,Restaurant,7.622446585,177,Not Enough Comments,C,A,1
y1xlgy,جگرکی پاتوق,2o3ylx,جگرکی پاتوق,2,افسریه - آهنگ,Restaurant,0,8,Not Enough Comments,No Rating,C,1
nndnov,املت عالمی,2o11xm,املت و دیزی عالمی,2,,Restaurant,8.216132275,195,Not Enough Comments,B,A,1
xdre8w,دیزی گلفام,266mg3,دیزی گلفام,2,جردن - ونک,Restaurant,8.684074959,160,Not Enough Comments,B,A,1
nnjger,دیزی سرای خانواده,21klkz,دیزی سرای خانواده ,2,,Restaurant,0,0,Not Enough Comments,No Rating,D,1
klwjko,فست فود گوگل ویچ,57mogl,گوگل ویچ,2,نیاوران‎ - آجودانیه,Restaurant,8.462705684,35,Not Enough Comments,B,B,1
qylzqx,رستوران فرخنده,5944m9,فرخنده,2,,Restaurant,0,13,Not Enough Comments,No Rating,C,1
nnjgq8,فست فود لمانچا,5w77wn,لمانچا,2,,Restaurant,0,2,Not Enough Comments,No Rating,D,1
xdg8yw,فست فود مینی ماکسی,51k7yo,مینی ماکسی,2,,Restaurant,0,3,Not Enough Comments,No Rating,D,1
jygwxv,کافه رستوران میرداماد,594prp,رستوران میرداماد,2,,Restaurant,0,1,Not Enough Comments,No Rating,D,1
e5w1l2,فست فود دوفیل,2r9xr1,فست فود دوفیل,2,تهرانپارس-حکیمیه,Restaurant,0,0,Not Enough Comments,No Rating,D,1
y1978r,کافه رستوران شاتوت,5rwyxr,شاتوت,2,پونک - باغ فیض‎,Restaurant,0,1,Not Enough Comments,No Rating,D,1
y1kq8g,کباب ذغالی حامد,5lzr78,کباب ذغالی حامد,2,شادآباد-خلیج فارس-تهرانسر,Restaurant,0,7,Not Enough Comments,No Rating,C,1
94j6rk,رستوران انارک,5p34yp,انارک,2,پاسداران - هروی -دروس,Restaurant,8.829358966,88,Not Enough Comments,B,B,2
me9d8y,فست فود ماها,2g9k9n,فست فود ماها,2,پیروزی - نیروی هوایی‎,Restaurant,8.013448869,72,Not Enough Comments,B,B,1
94jko6,فست فود سوخاری پت و مت (گلبرگ),51opmz,فست فود پت و مت,2,نارمک - مجیدیه,Restaurant,0,1,Not Enough Comments,No Rating,D,1
r5qy21,بابی فود,2k66x9,بابی فود,2,,Restaurant,0,0,Not Enough Comments,No Rating,D,1
12mm5w,فست فود و سوخاری و پیتزا فلفلی (تهرانپارس),2zkn1k,فست فود و سوخاری فلفلی( تهرانپارس),2,تهرانپارس-حکیمیه,Restaurant,6.227161076,89,Not Enough Comments,D,B,1
